id,sentence
cosimo:646,"While Giorgione and Correggio, to their own great credit and glory, were honouring the regions of Lombardy, Tuscany, on her part, was not wanting in men of beautiful intellect; among whom, not one of the least was Piero, the son of one Lorenzo, a goldsmith, and a pupil of Cosimo Rosselli, after whom he was always called Piero di Cosimo, and known by no other name. And in truth, when a man teaches us excellence and gives us the secret of living rightly, he deserves no less gratitude from us, and should be held no less as a true father, than he who begets us and gives us life and nothing more. Piero was entrusted by his father, who saw in his son a lively intelligence and an inclination to the art of design, to the care of Cosimo, who took him with no ordinary willingness; and seeing him grow no less in ability than in years, among the many disciples that he had, he bore him love as to a son, and always held him as such. This young man had by nature a most lofty spirit, and he was very strange, and different in fancy from the other youths who were working with Cosimo in order to learn the same art. He was at times so intent on what he was doing, that when some subject was being discussed, as often happens, at the end of the discussion it was necessary to go back to the beginning and tell him the whole, so far had his brain wandered after some other fancy of his own. And he was likewise so great a lover of solitude, that he knew no pleasure save that of going off by himself with his thoughts, letting his fancy roam and building his castles in the air. Right good reason had Cosimo, his master, for wishing him well, seeing that he made so much use of him in his works, that very often he caused him to execute  things of great importance, knowing that Piero had a more beautiful manner, as well as better judgment, than himself."
cosimo:647,"I have heard from the lips of Andrea di Cosimo, who helped him to carry out the work, and of Andrea del Sarto, who was Piero's disciple, and who also had a hand in it, that it was a common opinion at that time that this invention was intended to foreshadow the return of the Medici family to Florence in the year 1512, since at the time when the procession was held they were exiles, and, so to speak, dead, but destined in a short time to come to life; and in this sense were interpreted the following words in the song—"
cosimo:648,"Wherefore, living in such strange fashion, he reduced himself to such a state with his extravagant fancies, that one morning he was found dead at the foot of a staircase, in the year 1521; and he was given burial in S. Piero Maggiore."
cosimo:649,"These scenes, after the death of Francesco del Pugliese and his sons, were taken away, nor do I know what has become of them; and the same thing has happened to a picture of Mars and Venus, with her Loves and Vulcan, executed with great art and with an incredible patience."
cosimo:650,"Piero painted, for the elder Filippo Strozzi, a picture with little figures of Perseus delivering Andromeda from the Monster, in which are some very beautiful things."
cosimo:651,"But to return to the art and actions of Piero; he was given the commission for a panel in the Church of the Servite Friars, in the Chapel of the Tedaldi, where they keep the garment and the pillow of S. Filippo, a brother of their Order; wherein he depicted Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light."
cosimo:652,"The Director of the Hospital of the Innocenti was much the friend of Piero; and wishing to have a panel painted, which was to be placed in the Pugliese Chapel, near the entrance into the church, on the left hand, he gave the commission for it to Piero, who brought it to completion at his leisure; but first he reduced his patron to despair, for on no account would he let him see it until it was finished."
